@relation 'if(A1>0.5 || A2>0.7 || A3<0.4) then 1 else 0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 and A2==B2of2-L0,1-C6-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 and A3==B2of2-L0,1-C7-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 and A3==B2of2-L0,1-C8-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 or A2==B2of2-L0,1-C9-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 or A3==B2of2-L0,1-C10-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 or A3==B2of2-L0,1-C11-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 equ A2==B2of2-L0,1-C12-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 equ A3==B2of2-L0,1-C13-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 equ A3==B2of2-L0,1-C14-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 xor A2==B2of2-L0,1-C15-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 xor A3==B2of2-L0,1-C16-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 xor A3==B2of2-L0,1-C17-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 impl A2==B2of2-L0,1-C18-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 impl A3==B2of2-L0,1-C19-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 impl A3==B2of2-L0,1-C20-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 and A2==B2of2 and A3==B2of2-L0,1-C21-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 or A2==B2of2 or A3==B2of2-L0,1-C22-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(A1 <= 0.5) and (A3 >= 0.4)-L0,1-C23-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(A1 <= 0.5) and (A2 <= 0.7)-L0,1-C24-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(A3 >= 0.44) and (A2 <= 0.68) and (A2 >= 0.11)-L0,1-C25-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7)-L0,1-C26-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((A1 <= 0.5) and (A3 >= 0.4))-L0,1,2-C27-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((A1 <= 0.5) and (A2 <= 0.7))-L0,1,2-C28-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((A3 >= 0.44) and (A2 <= 0.68) and (A2 >= 0.11))-L0,1,2,3-C29-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7))-L0,1,2,3-C30-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A2-C31-W1.0-weka.filters.unsupervised.attribute.Add-NA2 ADD A3-C32-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A3-C33-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A2-C34-W1.0-weka.filters.unsupervised.attribute.Add-NA2 SUBTRACT A3-C35-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A3-C36-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A2-C37-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A1-C38-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A3-C39-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A2-C40-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A3-C41-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A1-C42-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A2-C43-W1.0-weka.filters.unsupervised.attribute.Add-NA2 MULTIPLY A3-C44-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A3-C45-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A2-L0,1-C46-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 LESSTHAN A3-L0,1-C47-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A3-L0,1-C48-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A2-L0,1-C49-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 DIFF A3-L0,1-C50-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A3-L0,1-C51-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A2-L\'(-inf-0.505]\'_x_\'(-inf-0.705]\',\'(-inf-0.505]\'_x_\'(0.705-inf)\',\'(0.505-inf)\'_x_\'(-inf-0.705]\',\'(0.505-inf)\'_x_\'(0.705-inf)\'-C52-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2_x_A3-L\'(-inf-0.705]\'_x_\'(-inf-0.395]\',\'(-inf-0.705]\'_x_\'(0.395-inf)\',\'(0.705-inf)\'_x_\'(-inf-0.395]\',\'(0.705-inf)\'_x_\'(0.395-inf)\'-C53-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A3-L\'(-inf-0.505]\'_x_\'(-inf-0.395]\',\'(-inf-0.505]\'_x_\'(0.395-inf)\',\'(0.505-inf)\'_x_\'(-inf-0.395]\',\'(0.505-inf)\'_x_\'(0.395-inf)\'-C54-W1.0'

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute 'A1==B2of2 and A2==B2of2' {0,1}
@attribute 'A2==B2of2 and A3==B2of2' {0,1}
@attribute 'A1==B2of2 and A3==B2of2' {0,1}
@attribute 'A1==B2of2 or A2==B2of2' {0,1}
@attribute 'A2==B2of2 or A3==B2of2' {0,1}
@attribute 'A1==B2of2 or A3==B2of2' {0,1}
@attribute 'A1==B2of2 equ A2==B2of2' {0,1}
@attribute 'A2==B2of2 equ A3==B2of2' {0,1}
@attribute 'A1==B2of2 equ A3==B2of2' {0,1}
@attribute 'A1==B2of2 xor A2==B2of2' {0,1}
@attribute 'A2==B2of2 xor A3==B2of2' {0,1}
@attribute 'A1==B2of2 xor A3==B2of2' {0,1}
@attribute 'A1==B2of2 impl A2==B2of2' {0,1}
@attribute 'A2==B2of2 impl A3==B2of2' {0,1}
@attribute 'A1==B2of2 impl A3==B2of2' {0,1}
@attribute 'A1==B2of2 and A2==B2of2 and A3==B2of2' {0,1}
@attribute 'A1==B2of2 or A2==B2of2 or A3==B2of2' {0,1}
@attribute '(A1 <= 0.5) and (A3 >= 0.4)' {0,1}
@attribute '(A1 <= 0.5) and (A2 <= 0.7)' {0,1}
@attribute '(A3 >= 0.44) and (A2 <= 0.68) and (A2 >= 0.11)' {0,1}
@attribute '(A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7)' {0,1}
@attribute 'num-of-N((A1 <= 0.5) and (A3 >= 0.4))' {0,1,2}
@attribute 'num-of-N((A1 <= 0.5) and (A2 <= 0.7))' {0,1,2}
@attribute 'num-of-N((A3 >= 0.44) and (A2 <= 0.68) and (A2 >= 0.11))' {0,1,2,3}
@attribute 'num-of-N((A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7))' {0,1,2,3}
@attribute 'A1 ADD A2' numeric
@attribute 'A2 ADD A3' numeric
@attribute 'A1 ADD A3' numeric
@attribute 'A1 SUBTRACT A2' numeric
@attribute 'A2 SUBTRACT A3' numeric
@attribute 'A1 SUBTRACT A3' numeric
@attribute 'A1 DIVIDE A2' numeric
@attribute 'A2 DIVIDE A1' numeric
@attribute 'A2 DIVIDE A3' numeric
@attribute 'A3 DIVIDE A2' numeric
@attribute 'A1 DIVIDE A3' numeric
@attribute 'A3 DIVIDE A1' numeric
@attribute 'A1 MULTIPLY A2' numeric
@attribute 'A2 MULTIPLY A3' numeric
@attribute 'A1 MULTIPLY A3' numeric
@attribute 'A1 LESSTHAN A2' {0,1}
@attribute 'A2 LESSTHAN A3' {0,1}
@attribute 'A1 LESSTHAN A3' {0,1}
@attribute 'A1 DIFF A2' {0,1}
@attribute 'A2 DIFF A3' {0,1}
@attribute 'A1 DIFF A3' {0,1}
@attribute A1_x_A2 {'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(0.505-inf)\'_x_\'(0.705-inf)\''}
@attribute A2_x_A3 {'\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.705-inf)\'_x_\'(-inf-0.395]\'','\'(0.705-inf)\'_x_\'(0.395-inf)\''}
@attribute A1_x_A3 {'\'(-inf-0.505]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(0.395-inf)\''}
@attribute class {0,1}

@data
0,0.1,0.31,0.8,0.91,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,1,2,0.1,0.41,0.31,-0.1,-0.21,-0.31,0,340282346638528860000000000000000000000,0.322581,3.1,0,340282346638528860000000000000000000000,0,0.031,0,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.83,0.55,0.77,0.98,0.12,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,3,2,1.38,1.32,1.6,0.28,-0.22,0.06,1.509091,0.662651,0.714286,1.4,1.077922,0.927711,0.4565,0.4235,0.6391,0,1,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.72,0.77,0.7,0.55,0.42,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,1,1.49,1.47,1.42,-0.05,0.07,0.02,0.935065,1.069444,1.1,0.909091,1.028571,0.972222,0.5544,0.539,0.504,1,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.13,0.99,0.43,0.86,0.12,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2,1,1,2,1.12,1.42,0.56,-0.86,0.56,-0.3,0.131313,7.615385,2.302326,0.434343,0.302326,3.307692,0.1287,0.4257,0.0559,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',1
0.64,0.71,0.05,0.47,0.69,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.35,0.76,0.69,-0.07,0.66,0.59,0.901408,1.109375,14.2,0.070423,12.8,0.078125,0.4544,0.0355,0.032,1,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.1,0.72,0.68,0.65,0.15,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2,1,2,2,0.82,1.4,0.78,-0.62,0.04,-0.58,0.138889,7.2,1.058824,0.944444,0.147059,6.8,0.072,0.4896,0.068,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',1
0.32,0.27,0.47,0.94,0.96,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.59,0.74,0.79,0.05,-0.2,-0.15,1.185185,0.84375,0.574468,1.740741,0.680851,1.46875,0.0864,0.1269,0.1504,0,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.36,0.99,0.65,0.16,0.52,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2,1,2,2,1.35,1.64,1.01,-0.63,0.34,-0.29,0.363636,2.75,1.523077,0.656566,0.553846,1.805556,0.3564,0.6435,0.234,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',1
0.74,0.39,0.15,0.73,0.83,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,1.13,0.54,0.89,0.35,0.24,0.59,1.897436,0.527027,2.6,0.384615,4.933333,0.202703,0.2886,0.0585,0.111,0,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.87,0.33,0.1,0.84,0.77,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,1.2,0.43,0.97,0.54,0.23,0.77,2.636364,0.37931,3.3,0.30303,8.7,0.114943,0.2871,0.033,0.087,0,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.34,0.74,0.44,1,0.27,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2,1,2,2,1.08,1.18,0.78,-0.4,0.3,-0.1,0.459459,2.176471,1.681818,0.594595,0.772727,1.294118,0.2516,0.3256,0.1496,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',1
0.31,0.98,0.7,0.78,0.1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2,1,2,2,1.29,1.68,1.01,-0.67,0.28,-0.39,0.316327,3.16129,1.4,0.714286,0.442857,2.258065,0.3038,0.686,0.217,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',1
0.78,0.38,0.18,0.76,0.31,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,1.16,0.56,0.96,0.4,0.2,0.6,2.052632,0.487179,2.111111,0.473684,4.333333,0.230769,0.2964,0.0684,0.1404,0,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.24,0.13,0.31,0.86,0.73,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,2,2,0.37,0.44,0.55,0.11,-0.18,-0.07,1.846154,0.541667,0.419355,2.384615,0.774194,1.291667,0.0312,0.0403,0.0744,0,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.47,0.73,0.26,0.14,0.46,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1.2,0.99,0.73,-0.26,0.47,0.21,0.643836,1.553191,2.807692,0.356164,1.807692,0.553191,0.3431,0.1898,0.1222,1,0,0,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.39,0.27,0.14,0.34,0.91,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,2,2,0.66,0.41,0.53,0.12,0.13,0.25,1.444444,0.692308,1.928571,0.518519,2.785714,0.358974,0.1053,0.0378,0.0546,0,0,0,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.16,0,0.68,0.79,0.35,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,2,2,2,3,0.16,0.68,0.84,0.16,-0.68,-0.52,340282346638528860000000000000000000000,0,0,340282346638528860000000000000000000000,0.235294,4.25,0,0,0.1088,0,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.11,0.68,0.01,0.48,0.36,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,2,2,0.79,0.69,0.12,-0.57,0.67,0.1,0.161765,6.181818,68,0.014706,11,0.090909,0.0748,0.0068,0.0011,1,0,0,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.15,0.5,0.28,0.68,0.6,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,2,2,0.65,0.78,0.43,-0.35,0.22,-0.13,0.3,3.333333,1.785714,0.56,0.535714,1.866667,0.075,0.14,0.042,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.29,0.87,0.99,0.74,0.75,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2,1,2,2,1.16,1.86,1.28,-0.58,-0.12,-0.7,0.333333,3,0.878788,1.137931,0.292929,3.413793,0.2523,0.8613,0.2871,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',1
0.24,0.02,0.82,0.72,0.49,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,2,2,2,3,0.26,0.84,1.06,0.22,-0.8,-0.58,12,0.083333,0.02439,41,0.292683,3.416667,0.0048,0.0164,0.1968,0,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.71,0,0.75,0.51,0.9,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,2,2,0.71,0.75,1.46,0.71,-0.75,-0.04,340282346638528860000000000000000000000,0,0,340282346638528860000000000000000000000,0.946667,1.056338,0,0,0.5325,0,1,1,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.28,0.16,0.27,0.27,0.03,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,2,2,0.44,0.43,0.55,0.12,-0.11,0.01,1.75,0.571429,0.592593,1.6875,1.037037,0.964286,0.0448,0.0432,0.0756,0,1,0,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.33,0.25,0.03,0.58,0.84,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,2,2,0.58,0.28,0.36,0.08,0.22,0.3,1.32,0.757576,8.333333,0.12,11,0.090909,0.0825,0.0075,0.0099,0,0,0,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.62,0.86,0.33,0.09,0.32,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.48,1.19,0.95,-0.24,0.53,0.29,0.72093,1.387097,2.606061,0.383721,1.878788,0.532258,0.5332,0.2838,0.2046,1,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.33,0.98,0.78,0.87,0.25,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2,1,2,2,1.31,1.76,1.11,-0.65,0.2,-0.45,0.336735,2.969697,1.25641,0.795918,0.423077,2.363636,0.3234,0.7644,0.2574,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',1
0.35,0.97,0.88,0.85,0.35,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2,1,2,2,1.32,1.85,1.23,-0.62,0.09,-0.53,0.360825,2.771429,1.102273,0.907216,0.397727,2.514286,0.3395,0.8536,0.308,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',1
0.46,0.86,0.67,0.88,0.46,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2,1,2,2,1.32,1.53,1.13,-0.4,0.19,-0.21,0.534884,1.869565,1.283582,0.77907,0.686567,1.456522,0.3956,0.5762,0.3082,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',1
0.57,0.16,0.21,0.36,0.74,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,0.73,0.37,0.78,0.41,-0.05,0.36,3.5625,0.280702,0.761905,1.3125,2.714286,0.368421,0.0912,0.0336,0.1197,0,1,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.48,0.01,0.9,0.63,0.98,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,2,2,2,3,0.49,0.91,1.38,0.47,-0.89,-0.42,48,0.020833,0.011111,90,0.533333,1.875,0.0048,0.009,0.432,0,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.09,0.1,0.93,0.01,0.13,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,2,2,2,3,0.19,1.03,1.02,-0.01,-0.83,-0.84,0.9,1.111111,0.107527,9.3,0.096774,10.333333,0.009,0.093,0.0837,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.94,0.69,0.46,1,0.9,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,2,2,1.63,1.15,1.4,0.25,0.23,0.48,1.362319,0.734043,1.5,0.666667,2.043478,0.489362,0.6486,0.3174,0.4324,0,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.99,0.96,0.46,0.07,0.06,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,1,1.95,1.42,1.45,0.03,0.5,0.53,1.03125,0.969697,2.086957,0.479167,2.152174,0.464646,0.9504,0.4416,0.4554,0,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.21,0.55,0.81,0.88,0.09,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.76,1.36,1.02,-0.34,-0.26,-0.6,0.381818,2.619048,0.679012,1.472727,0.259259,3.857143,0.1155,0.4455,0.1701,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.78,0.89,0.62,0.34,0.94,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,1,1.67,1.51,1.4,-0.11,0.27,0.16,0.876404,1.141026,1.435484,0.696629,1.258065,0.794872,0.6942,0.5518,0.4836,1,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.12,0.76,0.19,0.4,0.83,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0.88,0.95,0.31,-0.64,0.57,-0.07,0.157895,6.333333,4,0.25,0.631579,1.583333,0.0912,0.1444,0.0228,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.05,0.81,0.23,0.14,0.31,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0.86,1.04,0.28,-0.76,0.58,-0.18,0.061728,16.2,3.521739,0.283951,0.217391,4.6,0.0405,0.1863,0.0115,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.58,0.78,0.16,0.16,0.28,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.36,0.94,0.74,-0.2,0.62,0.42,0.74359,1.344828,4.875,0.205128,3.625,0.275862,0.4524,0.1248,0.0928,1,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
